review_id,review_text
1,The battery lasts long and the screen is bright.
2,Camera quality is poor but the speaker is amazing.
3,The phone heats up quickly but charges fast.
4,"I love the design, but the fingerprint sensor is slow."
5,"The phone is very fast and responsive, but battery life is average."
6,"The camera is amazing, but the display quality could be better."
7,"The screen is vibrant, and the colors are sharp."
8,"The performance is good, but the phone gets warm during extended use."
9,"The design is sleek, but the phone is a bit heavy."
10,"Battery life is incredible, and the camera quality is top-notch."
